Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
293,1090,1.09,SENSOR,3,1129,IMU_2,0.01171875,0.001953125,-1.0244140625,-0.1234567901234568,-0.0925925925925926,0.0617283950617284
296,1100,1.1,SENSOR,1,1129,IMU_1,-0.0263671875,-0.0224609375,-0.9814453125,0.617283950617284,0.2160493827160494,-0.2469135802469136
297,1100,1.1,SENSOR,1,1129,IMU_2,-0.0224609375,-0.0078125,-1.0458984375,-0.1851851851851852,-0.154320987654321,-0.3395061728395062
299,1100,1.1,SENSOR,2,1129,IMU_1,0.0126953125,-0.001953125,-1.037109375,0.7098765432098766,0.0617283950617284,-0.2777777777777778
300,1100,1.1,SENSOR,2,1129,IMU_2,0.009765625,0.001953125,-0.98828125,0.617283950617284,0.0925925925925926,-0.8950617283950618
302,1100,1.1,SENSOR,3,1139,IMU_1,0.0,0.0078125,-0.9951171875,-0.2777777777777778,-0.3395061728395062,0.0
303,1100,1.1,SENSOR,3,1139,IMU_2,0.01171875,0.0029296875,-1.0244140625,-0.0925925925925926,-0.0925925925925926,0.0617283950617284
306,1110,1.11,SENSOR,1,1139,IMU_1,-0.02734375,-0.021484375,-0.984375,0.617283950617284,0.2469135802469136,-0.2160493827160494
307,1110,1.11,SENSOR,1,1139,IMU_2,-0.0234375,-0.0078125,-1.0478515625,-0.2160493827160494,-0.1234567901234568,-0.3395061728395062
309,1110,1.11,SENSOR,2,1139,IMU_1,0.013671875,-0.001953125,-1.037109375,0.7407407407407408,0.0617283950617284,-0.2777777777777778
310,1110,1.11,SENSOR,2,1139,IMU_2,0.0107421875,0.0009765625,-0.9873046875,0.617283950617284,0.0925925925925926,-0.8950617283950618
312,1110,1.11,SENSOR,3,1149,IMU_1,0.0,0.009765625,-0.99609375,-0.2469135802469136,-0.3395061728395062,0.0
313,1110,1.11,SENSOR,3,1149,IMU_2,0.01171875,0.0029296875,-1.025390625,-0.1234567901234568,-0.0925925925925926,0.0308641975308642
316,1120,1.12,SENSOR,1,1149,IMU_1,-0.025390625,-0.0224609375,-0.984375,0.617283950617284,0.2160493827160494,-0.2469135802469136
317,1120,1.12,SENSOR,1,1149,IMU_2,-0.0224609375,-0.0078125,-1.0478515625,-0.2160493827160494,-0.1234567901234568,-0.3703703703703704
