Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Pressure,Temperature
1387,2620,2.62,SENSOR,1,2673,BARO,99640,26.43
1390,2620,2.62,SENSOR,2,2673,BARO,99661,25.02
1393,2620,2.62,SENSOR,3,2683,BARO,99695,24.8
1397,2630,2.63,SENSOR,1,2683,BARO,99640,26.43
1400,2630,2.63,SENSOR,2,2683,BARO,99665,25.04
1403,2630,2.63,SENSOR,3,2693,BARO,99673,24.8
1407,2640,2.64,SENSOR,1,2693,BARO,99662,26.43
1410,2640,2.64,SENSOR,2,2693,BARO,99642,25.02
1413,2640,2.64,SENSOR,3,2703,BARO,99673,24.8
1417,2650,2.65,SENSOR,1,2703,BARO,99665,26.44
1420,2650,2.65,SENSOR,2,2703,BARO,99685,25.04
1423,2650,2.65,SENSOR,3,2713,BARO,99695,24.8
1428,2660,2.66,SENSOR,1,2713,BARO,99665,26.44
1431,2660,2.66,SENSOR,2,2713,BARO,99645,25.04
1434,2660,2.66,SENSOR,3,2723,BARO,99676,24.81
1438,2670,2.67,SENSOR,1,2723,BARO,99640,26.43
1441,2670,2.67,SENSOR,2,2723,BARO,99665,25.04
1444,2670,2.67,SENSOR,3,2733,BARO,99695,24.8
1448,2680,2.68,SENSOR,1,2733,BARO,99640,26.43
1451,2680,2.68,SENSOR,2,2733,BARO,99665,25.04
1454,2680,2.68,SENSOR,3,2743,BARO,99673,24.8
1458,2690,2.69,SENSOR,1,2743,BARO,99640,26.43
1461,2690,2.69,SENSOR,2,2743,BARO,99645,25.04
1464,2690,2.69,SENSOR,3,2753,BARO,99695,24.8
1468,2700,2.7,SENSOR,1,2753,BARO,99643,26.44
1471,2700,2.7,SENSOR,2,2753,BARO,99665,25.04
1474,2700,2.7,SENSOR,3,2763,BARO,99695,24.8
1478,2710,2.71,SENSOR,1,2763,BARO,99640,26.43
