Timestamp;Log Entry Type;Data
1592;1;3,1484835327,-1003159552,3221291136
1592;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
1602;1;3,1484835327,-1002831872,3221291136
1602;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
1612;1;3,1484835327,-1002831872,3221291136
1612;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
1622;1;3,1484835327,-1002504192,3221291136
1622;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
1632;1;3,1484835327,-1002504192,3221291136
1632;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
1642;1;3,1484835327,-1006370816,3221291200
1642;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
1652;1;3,1484835327,-1006370816,3221291200
1652;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
1662;1;3,1484835327,-1006043136,3221291200
1662;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1672;1;3,1484835327,-1006043136,3221291200
1672;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1682;1;3,1484835327,-1005715456,3221291200
1682;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1692;1;3,1484835327,-1005387776,3221291200
1692;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1702;1;3,1484835327,-1005387776,3221291200
1702;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1712;1;3,1484835327,-1005060096,3221291200
1712;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1722;1;3,1484835327,-1005060096,3221291200
1722;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1732;1;3,1484835327,-1004732416,3221291200
1732;1;3,2-1073283072,-1073283072,-1005911936,2555904,4063424,524352,1008206016
1742;1;3,1484835327,-1004732416,3221291200
1742;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,1008206016
1752;1;3,1484835327,-1004404736,3221291200
1752;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,2082406592
1762;1;3,1484835327,-1004404736,3221291200
1762;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,2082406592
1772;1;3,1484835327,-1004077056,3221291200
1772;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,1008206016
1782;1;3,1484835327,-1004077056,3221291200
1782;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,1008206016
1792;1;3,1484835327,-1003749376,3221291200
1792;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,1008206016
1802;1;3,1484835327,-1003749376,3221291200
1802;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,1008206016
1812;1;3,1484835327,-1003421696,3221291200
1812;1;3,2-1073283072,-2147090432,-1004601216,2555904,4063424,524352,1008206016
1822;1;3,1484835327,-1003421696,3221291200
1822;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1832;1;3,1484835327,-1003094016,3221291200
1832;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1842;1;3,1484835327,-1003094016,3221291200
1842;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1852;1;3,1484835327,-1002766336,3221291200
1852;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1862;1;3,1484835327,-1002766336,3221291200
1862;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1872;1;3,1484835327,-989855744,3221291008
1872;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1882;1;3,1484835327,-989855744,3221291008
1882;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1892;1;3,1484835327,-989528064,3221291008
1892;1;3,2-1073283072,-1073414144,-1003290496,2555904,4063424,524352,1008206016
1902;1;3,1484835327,-989528064,3221291008
1902;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,1008205824
1912;1;3,1484835327,-989200384,3221291008
1912;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,1008205824
1922;1;3,1484835327,-989200384,3221291008
1922;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,1008205824
1932;1;3,1484835327,-988872704,3221291008
1932;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,1008205824
1942;1;3,1484835327,-988872704,3221291008
1942;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,1008205824
1952;1;3,1484835327,-988545024,3221291008
1952;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,1008205824
1962;1;3,1484835327,-988545024,3221291008
1962;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,1008205824
1972;1;3,1484835327,-988217344,3221291008
1972;1;3,2-1073283072,-2147155968,-989396864,2555904,4063424,524352,2082406400
1982;1;3,1484835327,-988217344,131072
1982;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,2082406400
1992;1;3,1484835327,-987889664,131072
1992;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,2082406400
2002;1;3,1484835327,-987889664,131072
2002;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,2082406400
3001;4;Controlling something...
2012;1;3,1484835327,-987561984,131072
2012;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,1008205824
3001;3;20202020
2022;1;3,1484835327,-987561984,131072
